model,stage,item,feature_count,features,metric,baseline_metric,importance_mean,importance_std,importance_ci_low,importance_ci_high,positive_importance_share,rank
Entry: college-only,Getting drafted,Age and experience,8,college_age_on_july_1 | college_last_season_gap | college_career_seasons | college_career_span_years | prospect_age_centered_21 | prospect_age_squared | college_age_adjusted_scoring | college_age_adjusted_stocks,average_precision,0.7629225672039597,0.08194486464112959,0.02685608691964336,0.03344956711219742,0.13630179541401286,0.5067674344910393,1
Entry: college-only,Getting drafted,Scoring efficiency,6,college_last_fg_pct | college_last_efg_pct | college_last_ts_pct | college_career_fg_pct | college_career_efg_pct | college_career_ts_pct,average_precision,0.7629225672039597,0.043149346453633435,0.01444095057348224,0.014094951941849655,0.06618867218289556,0.2668462959580943,2
Entry: college-only,Getting drafted,Shooting profile,20,college_last_three_point_field_goals_attempted | college_last_free_throws_attempted | college_last_three_pct | college_last_ft_pct | college_last_three_point_attempts_per_40 | college_last_free_throw_attempts_per_40 | college_last_three_attempt_rate | college_last_free_throw_rate | college_career_three_point_field_goals_attempted | college_career_free_throws_attempted | college_career_three_pct | college_career_ft_pct | college_career_three_point_attempts_per_40 | college_career_free_throw_attempts_per_40 | college_career_three_attempt_rate | college_career_free_throw_rate | college_career_ft_pct_shrunk | college_career_three_pct_shrunk | college_last_ft_pct_shrunk | college_last_three_pct_shrunk,average_precision,0.7629225672039597,0.02467341003764943,0.009002948473384858,0.010489083526124082,0.03975626067679717,0.15258650752165911,3
Entry: college-only,Getting drafted,Development trajectory,16,college_development_season_gap | college_development_minutes_per_game_delta | college_development_start_rate_delta | college_development_three_pct_delta | college_development_ft_pct_delta | college_development_efg_pct_delta | college_development_ts_pct_delta | college_development_points_per_40_delta | college_development_rebounds_per_40_delta | college_development_assists_per_40_delta | college_development_steals_per_40_delta | college_development_blocks_per_40_delta | college_development_turnovers_per_40_delta | college_development_assist_turnover_ratio_delta | college_development_three_attempt_rate_delta | college_development_free_throw_rate_delta,average_precision,0.7629225672039597,0.00978955583248076,0.010030174040031025,-0.010821512331219899,0.021688539611978308,0.060541049347746886,4
Entry: college-only,Getting drafted,Defensive events,6,college_last_steals_per_40 | college_last_blocks_per_40 | college_career_steals_per_40 | college_career_blocks_per_40 | college_career_stocks_per_40_advanced | college_last_stocks_per_40_advanced,average_precision,0.7629225672039597,0.0013816698671622126,0.012540315993691204,-0.016022281046594204,0.027592074150000482,0.008544590279839623,5
Entry: college-only,Getting drafted,Position,1,college_position,average_precision,0.7629225672039597,0.0007622788991769084,0.000874056990419704,-0.0006679806280389195,0.002080116562856676,0.004714122401620828,6
Entry: college-only,Getting drafted,Other college context,3,college_last_field_goals_attempted | college_career_field_goals_attempted | prospect_youth_score,average_precision,0.7629225672039597,-0.001854573163260546,0.003688774002693539,-0.008290213704668026,0.006114175484658914,0.0,7
Entry: college-only,Getting drafted,Rebounding,2,college_last_rebounds_per_40 | college_career_rebounds_per_40,average_precision,0.7629225672039597,-0.0021883420376281474,0.002257461106600341,-0.0056368841460275685,0.0022920119180389192,0.0,8
Entry: college-only,Getting drafted,Role and exposure,9,college_last_games_played | college_last_games_started | college_last_minutes | college_last_minutes_per_game | college_last_start_rate | college_career_games_played | college_career_minutes | college_career_minutes_per_game | college_career_start_rate,average_precision,0.7629225672039597,-0.0025893436578235435,0.013379022038007712,-0.020510649321144967,0.026085597888272777,0.0,9
Entry: college-only,Getting drafted,Playmaking and ball security,8,college_last_assists_per_40 | college_last_turnovers_per_40 | college_last_assist_turnover_ratio | college_career_assists_per_40 | college_career_turnovers_per_40 | college_career_assist_turnover_ratio | college_career_playmaking_margin_per_40 | college_last_playmaking_margin_per_40,average_precision,0.7629225672039597,-0.004285340348685925,0.004352399464103868,-0.011286847878082429,0.0037706686086573836,0.0,10
Entry: college-only,Getting drafted,Scoring volume,6,college_last_points_per_40 | college_last_field_goal_attempts_per_40 | college_career_points_per_40 | college_career_field_goal_attempts_per_40 | college_career_usage_proxy_per_40 | college_last_usage_proxy_per_40,average_precision,0.7629225672039597,-0.011369566134336036,0.004950055504664552,-0.020315981222953184,-0.0038891182911529056,0.0,11
Entry: college-only,Getting drafted,Composite production,2,college_career_production_index | college_last_production_index,average_precision,0.7629225672039597,-0.013247340699785266,0.010913467846253366,-0.034184270677714595,0.0036544489927444164,0.0,12
Minutes: college-only,Playing time after being drafted,Scoring efficiency,6,college_last_fg_pct | college_last_efg_pct | college_last_ts_pct | college_career_fg_pct | college_career_efg_pct | college_career_ts_pct,rmse_minutes,2118.954632075569,33.27201456249811,15.714870072830431,4.828919984798155,58.14465528052002,0.271747156468386,1
Minutes: college-only,Playing time after being drafted,Playmaking and ball security,8,college_last_assists_per_40 | college_last_turnovers_per_40 | college_last_assist_turnover_ratio | college_career_assists_per_40 | college_career_turnovers_per_40 | college_career_assist_turnover_ratio | college_career_playmaking_margin_per_40 | college_last_playmaking_margin_per_40,rmse_minutes,2118.954632075569,22.08184144425506,10.842780538360524,8.707134311880315,44.18531167020229,0.18035209773037353,2
Minutes: college-only,Playing time after being drafted,Age and experience,8,college_age_on_july_1 | college_last_season_gap | college_career_seasons | college_career_span_years | prospect_age_centered_21 | prospect_age_squared | college_age_adjusted_scoring | college_age_adjusted_stocks,rmse_minutes,2118.954632075569,19.929795531244743,43.757755678306395,-74.08184202947476,100.08418700177431,0.16277539355000434,3
Minutes: college-only,Playing time after being drafted,Role and exposure,9,college_last_games_played | college_last_games_started | college_last_minutes | college_last_minutes_per_game | college_last_start_rate | college_career_games_played | college_career_minutes | college_career_minutes_per_game | college_career_start_rate,rmse_minutes,2118.954632075569,15.709177514314524,5.312941883575198,6.177718555648529,22.442475905882894,0.12830375245097764,4
Minutes: college-only,Playing time after being drafted,Shooting profile,20,college_last_three_point_field_goals_attempted | college_last_free_throws_attempted | college_last_three_pct | college_last_ft_pct | college_last_three_point_attempts_per_40 | college_last_free_throw_attempts_per_40 | college_last_three_attempt_rate | college_last_free_throw_rate | college_career_three_point_field_goals_attempted | college_career_free_throws_attempted | college_career_three_pct | college_career_ft_pct | college_career_three_point_attempts_per_40 | college_career_free_throw_attempts_per_40 | college_career_three_attempt_rate | college_career_free_throw_rate | college_career_ft_pct_shrunk | college_career_three_pct_shrunk | college_last_ft_pct_shrunk | college_last_three_pct_shrunk,rmse_minutes,2118.954632075569,12.34824811108909,12.753427153616764,-7.562230715661849,34.33847889699959,0.10085356584740073,5
Minutes: college-only,Playing time after being drafted,Composite production,2,college_career_production_index | college_last_production_index,rmse_minutes,2118.954632075569,8.039472361612374,8.0485737101304,-5.184934882604455,22.400522530794927,0.06566190182655149,6
Minutes: college-only,Playing time after being drafted,Development trajectory,16,college_development_season_gap | college_development_minutes_per_game_delta | college_development_start_rate_delta | college_development_three_pct_delta | college_development_ft_pct_delta | college_development_efg_pct_delta | college_development_ts_pct_delta | college_development_points_per_40_delta | college_development_rebounds_per_40_delta | college_development_assists_per_40_delta | college_development_steals_per_40_delta | college_development_blocks_per_40_delta | college_development_turnovers_per_40_delta | college_development_assist_turnover_ratio_delta | college_development_three_attempt_rate_delta | college_development_free_throw_rate_delta,rmse_minutes,2118.954632075569,4.79370085204467,5.307634092765551,-3.486343157758347,14.792858332353092,0.039152260319442814,7
Minutes: college-only,Playing time after being drafted,Scoring volume,6,college_last_points_per_40 | college_last_field_goal_attempts_per_40 | college_career_points_per_40 | college_career_field_goal_attempts_per_40 | college_career_usage_proxy_per_40 | college_last_usage_proxy_per_40,rmse_minutes,2118.954632075569,2.885411442566677,4.477194350789189,-4.568858966555638,10.369781429132694,0.02356642256470468,8
Minutes: college-only,Playing time after being drafted,Rebounding,2,college_last_rebounds_per_40 | college_career_rebounds_per_40,rmse_minutes,2118.954632075569,1.9767196202121189,0.6541242419941179,0.7302883978614659,3.29815406794853,0.016144737341314146,9
Minutes: college-only,Playing time after being drafted,Other college context,3,college_last_field_goals_attempted | college_career_field_goals_attempted | prospect_youth_score,rmse_minutes,2118.954632075569,1.010516388033011,2.8943749540000145,-3.8448716569508745,6.278681864751569,0.008253331174066942,10
Minutes: college-only,Playing time after being drafted,Position,1,college_position,rmse_minutes,2118.954632075569,0.39049947519523204,0.22625401313066512,0.005437564520025279,0.7138981637339952,0.003189380726777787,11
Minutes: college-only,Playing time after being drafted,Defensive events,6,college_last_steals_per_40 | college_last_blocks_per_40 | college_career_steals_per_40 | college_career_blocks_per_40 | college_career_stocks_per_40_advanced | college_last_stocks_per_40_advanced,rmse_minutes,2118.954632075569,-5.298296950229117,14.34528757553367,-35.26082935870318,18.55406010183495,0.0,12
Minutes: college plus draft capital,Playing time after being drafted,Draft capital,10,overall_pick | draft_pick_log | draft_pick_sqrt | draft_pick_inverse | draft_pick_squared | draft_pick_top_5 | draft_pick_top_10 | draft_pick_lottery | draft_pick_first_round | draft_pick_x_age,rmse_minutes,1592.8641892752712,784.6914127825463,96.43611698116901,600.533878694212,953.5801095703913,0.9298221110212512,1
Minutes: college plus draft capital,Playing time after being drafted,Playmaking and ball security,4,college_last_assists_per_40 | college_last_assist_turnover_ratio | college_career_playmaking_margin_per_40 | college_last_playmaking_margin_per_40,rmse_minutes,1592.8641892752712,34.30860603516703,22.234823028583417,-3.0634079172281625,73.67528206213635,0.04065407110381598,2
Minutes: college plus draft capital,Playing time after being drafted,Development trajectory,16,college_last_vs_career_points_per_40 | college_last_vs_career_steals_per_40 | college_last_vs_career_blocks_per_40 | college_last_vs_career_turnovers_per_40 | college_last_vs_career_three_pct | college_last_vs_career_ft_pct | college_last_vs_career_three_attempt_rate | college_last_to_career_assists_per_40_ratio | college_last_to_career_blocks_per_40_ratio | college_last_to_career_ft_pct_ratio | college_last_to_career_points_per_40_ratio | college_last_to_career_rebounds_per_40_ratio | college_last_to_career_steals_per_40_ratio | college_last_to_career_three_pct_ratio | college_last_to_career_ts_pct_ratio | college_last_to_career_turnovers_per_40_ratio,rmse_minutes,1592.8641892752712,19.141346374555162,10.314383521320181,2.241388791528795,38.796764370527065,0.022681587696576525,3
Minutes: college plus draft capital,Playing time after being drafted,Shooting profile,4,college_last_three_pct | college_last_ft_pct | college_career_ft_pct_shrunk | college_career_three_pct_shrunk,rmse_minutes,1592.8641892752712,5.774264992839054,16.455134304950146,-35.226376866788534,28.786901737755727,0.006842230178356224,4
Minutes: college plus draft capital,Playing time after being drafted,Other college context,1,prospect_youth_score,rmse_minutes,1592.8641892752712,0.0,0.0,0.0,0.0,0.0,5
Minutes: college plus draft capital,Playing time after being drafted,Scoring volume,1,college_last_points_per_40,rmse_minutes,1592.8641892752712,-0.04263772190530896,1.119382300742868,-2.062070823320249,2.118481717348692,0.0,6
Minutes: college plus draft capital,Playing time after being drafted,Defensive events,3,college_last_stocks_per_40 | college_career_stocks_per_40_advanced | college_last_stocks_per_40_advanced,rmse_minutes,1592.8641892752712,-0.17816751199125064,1.4676295895591913,-2.1942173540512555,3.487763288851033,0.0,7
Minutes: college plus draft capital,Playing time after being drafted,Composite production,2,college_career_production_index | college_last_production_index,rmse_minutes,1592.8641892752712,-1.1642555012868268,1.16340312550443,-2.882075633711679,1.018828023707322,0.0,8
Minutes: college plus draft capital,Playing time after being drafted,Rebounding,1,college_last_rebounds_per_40,rmse_minutes,1592.8641892752712,-3.674626540021025,2.4641116291668226,-7.90745163763554,0.6802675194717924,0.0,9
Minutes: college plus draft capital,Playing time after being drafted,Age and experience,6,age_on_draft_year_july1 | age_on_draft_year_july1_missing | prospect_age_centered_21 | prospect_age_squared | college_age_adjusted_scoring | college_age_adjusted_stocks,rmse_minutes,1592.8641892752712,-15.928660947108643,10.225251855131999,-34.61595623906878,4.495307967949838,0.0,10
