feature,concept,entry_ap_decrease,entry_positive_share,entry_rank,minutes_rmse_increase,minutes_positive_share,minutes_rank,rank_shift_minutes_minus_entry
college_age_on_july_1,Age and experience,-0.0019314158927068114,0.0,69,-12.907211772913978,0.0,86,17
college_last_season_gap,Age and experience,0.0,0.0,27,0.0,0.0,45,18
college_last_games_played,Role and exposure,-0.0008049082882619111,0.0,46,2.1556450955353434,0.02199184121407462,16,-30
college_last_games_started,Role and exposure,0.0,0.0,27,1.1937567814738486,0.012178678967503171,23,-4
college_last_minutes,Role and exposure,0.007890419780130557,0.062143686983881286,4,4.688417126023221,0.04783112266226026,8,4
college_last_minutes_per_game,Role and exposure,-0.007763150836072138,0.0,86,0.3424153386402395,0.0034933133344798644,36,-50
college_last_start_rate,Role and exposure,-0.00037993446682107096,0.0,38,-0.3553699896126697,0.0,67,29
college_last_field_goals_attempted,Other college context,-0.0021577071870576077,0.0,70,0.900530540637025,0.00918719166672282,26,-44
college_last_three_point_field_goals_attempted,Shooting profile,-0.003438112522721996,0.0,79,0.0,0.0,45,-34
college_last_free_throws_attempted,Shooting profile,-0.0018639261540318623,0.0,67,10.18217613277246,0.10387832449295728,1,-66
college_last_fg_pct,Scoring efficiency,0.005512996818957553,0.043419483146277256,5,-0.2109045122919421,0.0,64,59
college_last_three_pct,Shooting profile,0.0030895266460835773,0.024332618817829436,9,-1.7267997808852973,0.0,78,69
college_last_ft_pct,Shooting profile,-0.0013541008681234165,0.0,55,0.0,0.0,45,-10
college_last_efg_pct,Scoring efficiency,0.000732700399657249,0.005770631418612737,20,1.6037197707643827,0.016361111865570634,18,-2
college_last_ts_pct,Scoring efficiency,0.008834583810852866,0.06957977221402299,3,4.455749015695361,0.04545744800287096,9,6
college_last_points_per_40,Scoring volume,-0.005372748491678351,0.0,84,0.7013417110718516,0.007155071852339933,29,-55
college_last_rebounds_per_40,Rebounding,-0.0006598048686000224,0.0,42,1.0244039332710904,0.01045094514223663,25,-17
college_last_assists_per_40,Playmaking and ball security,-0.00023516453688992393,0.0,36,-0.3442073139458292,0.0,66,30
college_last_steals_per_40,Defensive events,-0.0027441429084921975,0.0,73,-9.617115239666555,0.0,84,11
college_last_blocks_per_40,Defensive events,-0.0039265237813913,0.0,80,-1.6288693908071006,0.0,76,-4
college_last_turnovers_per_40,Playmaking and ball security,-0.0003879486381202724,0.0,39,0.0,0.0,45,6
college_last_field_goal_attempts_per_40,Scoring volume,-0.004180701754297163,0.0,82,0.0,0.0,45,-37
college_last_three_point_attempts_per_40,Shooting profile,0.0028297384458505826,0.022286568411482365,11,-0.7386664273401493,0.0,72,61
college_last_free_throw_attempts_per_40,Shooting profile,-0.0017010414449917615,0.0,63,1.5592591496399868,0.015907525641162937,20,-43
college_last_assist_turnover_ratio,Playmaking and ball security,-0.00042749383975249446,0.0,40,2.6694906203293614,0.027234081327364924,13,-27
college_last_three_attempt_rate,Shooting profile,-0.0004866928234994572,0.0,41,0.0,0.0,45,4
college_last_free_throw_rate,Shooting profile,0.000877383199788299,0.006910130063024107,18,0.09892156235305265,0.001009195482327878,42,24
college_career_seasons,Age and experience,-0.0007774292127997554,0.0,45,0.0,0.0,45,0
college_career_span_years,Age and experience,-0.00016447761544202688,0.0,34,0.0,0.0,45,11
college_career_games_played,Role and exposure,-0.0008330924418571417,0.0,47,0.0,0.0,45,-2
college_career_minutes,Role and exposure,-0.0015049526082856182,0.0,60,8.707173780800485,0.08883038474529745,2,-58
college_career_minutes_per_game,Role and exposure,-0.0033722801295921795,0.0,76,-0.7271963554454033,0.0,71,-5
college_career_start_rate,Role and exposure,-0.0015357196012214117,0.0,61,0.01069900085547791,0.00010915095831416789,44,-17
college_career_field_goals_attempted,Other college context,-0.0018469440274194134,0.0,66,3.29894335524394,0.03365574351409359,12,-54
college_career_three_point_field_goals_attempted,Shooting profile,-0.000869129010045322,0.0,48,-0.10001795953915765,0.0,62,14
college_career_free_throws_attempted,Shooting profile,-0.001673305547874356,0.0,62,4.844803478052517,0.04942657259462612,7,-55
college_career_fg_pct,Scoring efficiency,2.4026465367506707e-05,0.00018922860693511745,26,0.8116641288479969,0.008280578596984861,27,1
college_career_three_pct,Shooting profile,-0.0025905019847310604,0.0,72,-2.761477711820483,0.0,79,7
college_career_ft_pct,Shooting profile,-0.0001861225474861968,0.0,35,0.0,0.0,45,10
college_career_efg_pct,Scoring efficiency,0.00542198059713677,0.042702653908176486,6,3.8366568417744626,0.03914148401884442,10,4
college_career_ts_pct,Scoring efficiency,0.002973622208367425,0.02341977396315985,10,7.803773336360549,0.07961391438661183,3,-7
college_career_points_per_40,Scoring volume,-0.0027780811538004086,0.0,74,1.3057743501003947,0.01332147960176524,21,-53
college_career_rebounds_per_40,Rebounding,-0.0018915912224995854,0.0,68,1.1504219491227103,0.011736578014021263,24,-44
college_career_assists_per_40,Playmaking and ball security,-0.0010390076152042645,0.0,51,2.4419011842609506,0.02491221918485195,15,-36
college_career_steals_per_40,Defensive events,-0.0028018268237560077,0.0,75,2.6339466879348796,0.026871462954348786,14,-61
college_career_blocks_per_40,Defensive events,0.002231077917516333,0.017571613628456485,12,-1.6806962053300443,0.0,77,65
college_career_turnovers_per_40,Playmaking and ball security,-0.001498540412607933,0.0,58,0.566143142811734,0.005775779198041317,32,-26
college_career_field_goal_attempts_per_40,Scoring volume,0.0010403026334264672,0.008193257522617141,17,0.0,0.0,45,28
college_career_three_point_attempts_per_40,Shooting profile,0.0,0.0,27,-0.4956346755164759,0.0,68,41
college_career_free_throw_attempts_per_40,Shooting profile,-0.00118430101273046,0.0,53,0.5803481369260074,0.00592069821817825,31,-22
college_career_assist_turnover_ratio,Playmaking and ball security,-0.00030148697426185165,0.0,37,5.367194182294603,0.05475599043024043,6,-31
college_career_three_attempt_rate,Shooting profile,-0.00012716357223441593,0.0,33,0.1422064170603638,0.0014507865650478628,40,7
college_career_free_throw_rate,Shooting profile,-6.660096770877422e-05,0.0,32,0.17181150084861657,0.0017528169424736698,39,7
college_development_season_gap,Development trajectory,0.0,0.0,27,0.0,0.0,45,18
college_development_minutes_per_game_delta,Development trajectory,0.0021999443409726704,0.017326410548096915,13,0.17654329770596935,0.0018010906241477474,37,24
college_development_start_rate_delta,Development trajectory,0.0,0.0,27,1.895716367271613,0.01934005436345082,17,-10
college_development_three_pct_delta,Development trajectory,-0.0014105304996539132,0.0,56,0.5070232110211388,0.005172639026582432,33,-23
college_development_ft_pct_delta,Development trajectory,-0.0014723018311797453,0.0,57,-1.0541752499434855,0.0,74,17
college_development_efg_pct_delta,Development trajectory,-0.0011829222519499731,0.0,52,-1.5217541984584841,0.0,75,23
college_development_ts_pct_delta,Development trajectory,0.0005438683994894222,0.004283420720327749,21,-0.7913315905541519,0.0,73,52
college_development_points_per_40_delta,Development trajectory,-0.004425262679062055,0.0,83,5.536077058053706,0.0564789296075488,5,-78
college_development_rebounds_per_40_delta,Development trajectory,0.0049297519829368626,0.038825939895776686,7,-0.10010051205955885,0.0,63,56
college_development_assists_per_40_delta,Development trajectory,-0.0007286375971494174,0.0,43,-0.6373089786543763,0.0,70,27
college_development_steals_per_40_delta,Development trajectory,-0.003418914678504252,0.0,78,0.17201456498498072,0.0017548885980780374,38,-40
college_development_blocks_per_40_delta,Development trajectory,0.001085175576164473,0.00854666965850608,16,0.11464095409152529,0.0011695643518650383,41,25
college_development_turnovers_per_40_delta,Development trajectory,0.0002654647599505474,0.0020907580847802547,22,0.0,0.0,45,23
college_development_assist_turnover_ratio_delta,Development trajectory,-0.0017279503458421774,0.0,64,-0.30540440178692735,0.0,65,1
college_development_three_attempt_rate_delta,Development trajectory,-0.0015041289514129122,0.0,59,0.7494124120328252,0.0076454880274202065,28,-31
college_development_free_throw_rate_delta,Development trajectory,0.002114320734086572,0.016652052684633212,14,0.0,0.0,45,31
prospect_age_centered_21,Age and experience,-0.0009164558959448788,0.0,50,-7.981780100246442,0.0,83,33
prospect_age_squared,Age and experience,-0.0012242193956865136,0.0,54,-4.077763897395608,0.0,81,27
prospect_youth_score,Other college context,-0.0017543779845109648,0.0,65,-4.0277816858680735,0.0,80,15
college_age_adjusted_scoring,Age and experience,0.01865845630699346,0.14695102423625953,2,-10.759758436151303,0.0,85,83
college_age_adjusted_stocks,Age and experience,0.04838624829760096,0.3810823698001933,1,-15.86386565444021,0.0,87,86
college_career_ft_pct_shrunk,Shooting profile,0.00014784932720501853,0.001164437706310993,24,-0.09040660577911694,0.0,61,37
college_career_playmaking_margin_per_40,Playmaking and ball security,-0.004126278282098986,0.0,81,3.5349498966173996,0.036063476769497164,11,-70
college_career_production_index,Composite production,-0.0025841607770336283,0.0,71,5.820244535752439,0.05937799961712411,4,-67
college_career_stocks_per_40_advanced,Defensive events,-0.003375827442325737,0.0,77,-0.6071859867899093,0.0,69,-8
college_career_three_pct_shrunk,Shooting profile,0.0014591073530695294,0.011491696658949122,15,-5.554872709128949,0.0,82,67
college_career_usage_proxy_per_40,Scoring volume,5.398401171358517e-05,0.0004251694611370485,25,0.0,0.0,45,20
college_last_ft_pct_shrunk,Shooting profile,0.00023015326663939907,0.0018126503986990573,23,0.6128798790902086,0.006252586296403229,30,7
college_last_playmaking_margin_per_40,Playmaking and ball security,-0.0009150121127688426,0.0,49,1.5723912499739678,0.01604149902386418,19,-30
college_last_production_index,Composite production,-0.012761089781470895,0.0,87,0.03987641063705875,0.0004068182154538035,43,-44
college_last_stocks_per_40_advanced,Defensive events,-0.0007298280707620064,0.0,44,1.2728415012695222,0.012985499442639926,22,-22
college_last_three_pct_shrunk,Shooting profile,0.00461874403820588,0.03637649095574289,8,0.35958384989700487,0.0036684660876964465,35,27
college_last_usage_proxy_per_40,Scoring volume,-0.006588536727395674,0.0,85,0.0,0.0,45,-40
college_position,Position,0.0008191494707089501,0.006451490506111798,19,0.4067357200899399,0.004149508372614949,34,15
